school,department,dept,Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
School of Arts and Sciences,Department of Environmental Science,ENVS,0.00543640124402859,0.0106137305430453,0.0696359535867253,0.158757399183282,0.0450289968125344,0.0193043568252844,0.0217470527305241,0.0139040451732611,0.0321959386247163,0.231243348263122,0.0048422211873128,0.0381925698346213,0.00433118374641269,0.0506333933710598,0.00819144981426172,0.0298093394698169,0.0751006986599331,0.117700826902161,0.00938488365671418,0.0539462103711832
School of Arts and Sciences,Department of History,HIST,0.0977958764763731,0.00534440233494575,0.0285515112851036,0.0329808067849524,0.0277049296945417,0.00369734470141497,0.0334758422550185,0.496475599197333,0.00331396779796317,0.0311663555383501,0.00583969744754469,0.0028550173518758,0.0061548683803071,0.0379984567663582,0.00424866926250735,0.0170383101873894,0.0706220093740491,0.0397912470140701,0.0129453603442246,0.041999727805677
School of Arts and Sciences,Department of Literature,LIT,0.415419019769029,0.00558474355552865,0.0569340857989735,0.0256423616282884,0.0306599400437025,0.064046920201743,0.0397034318223969,0.106025484755418,0.0052427105534268,0.0135451042610493,0.0273324725985919,0.00957542897443152,0.0318203519182196,0.00593685890547958,0.00747738417261925,0.00669228413508386,0.0207362794878918,0.100711922806673,0.011736664465538,0.0151765501459156
School of Arts and Sciences,Department of Literature,WRT,0.0582543240237494,0.00144890671082323,0.186892674163577,0.128686664275013,0.0119708626079791,0.00144890671082228,0.0243214152448484,0.00920949792023232,0.00329557982291108,0.00144890671082154,0.0204357540939368,0.0186991443358957,0.12331153100883,0.00688704161369207,0.00180106023472201,0.00144890671082232,0.00144890671082112,0.333115889376607,0.0248295172765419,0.0410445104473536
School of Arts and Sciences,Department of Literature,WRTG,0.0205590600670284,0.00154047780623917,0.243769967903206,0.0998189050995236,0.00154047780625218,0.00154047780623964,0.00426512591068776,0.0015404778062447,0.00265509464615834,0.00548508791844852,0.0545372679354661,0.00154047780623992,0.0276380532455555,0.00222759494457136,0.00154047780624104,0.0174624665984721,0.00154047780623656,0.502218913235514,0.00703864004543267,0.00154047780624167
School of Arts and Sciences,Department of Mathematics and Statistics,DATA,0.0109674956906674,0.0280171396182846,0.189270497591157,0.0238357929736558,0.0463746535886058,0.00488939335757619,0.00232320490486737,0.00232320490487086,0.107275190124969,0.0150571143352266,0.0391995449525853,0.00232320490487114,0.00232320490487092,0.00509472779573258,0.00585851295784108,0.400667402710196,0.00232320490486869,0.0828121877047933,0.0155328582090067,0.0135314638653534
School of Arts and Sciences,Department of Mathematics and Statistics,MATH,0.00876304522423639,0.00447453442948068,0.0799667654939292,0.0481681131623275,0.0364901558905099,0.00646032093828311,0.185986978411543,0.00760893671111642,0.0213208373514031,0.00337859869666216,0.0169704469649148,0.0197778663190349,0.00651827931296422,0.00337859869665823,0.0268545094693554,0.41718979655589,0.0734702254797079,0.0156120838160034,0.00433056454929791,0.0132793425266825
School of Arts and Sciences,Department of Mathematics and Statistics,STAT,0.00375845357036081,0.01433676750612,0.0579188778025596,0.0526107131395752,0.0271547286293969,0.00351089033658166,0.0521326551753588,0.00351089033658063,0.00919355169585977,0.0043230856386632,0.0108448431686503,0.00351089033658266,0.00351089033657963,0.00351089033657941,0.00770706213867868,0.668658866316857,0.037841762734101,0.0239590893104687,0.00780233123876749,0.00420276025167854
School of Arts and Sciences,Department of Neuroscience,NEUR,0.00462888638435808,0.00462888638435698,0.197097017826439,0.0615825208371787,0.0934020725273242,0.0585807969122314,0.0298427144053327,0.00513388540775655,0.0420389037455479,0.0135467631091022,0.00861036564120643,0.00462888638435804,0.00902357841922987,0.00462888638435783,0.209429990027976,0.0115945911348059,0.0845335511586595,0.133746588708233,0.00544150081542286,0.0178796137861231
School of Arts and Sciences,Department of Performing Arts,AMGT,0.0279802902685517,0.110518760388528,0.0942446418758835,0.00580403155997147,0.0349364430767818,0.0270239164531697,0.00203554579145168,0.00203554579145273,0.0194732827822614,0.0218000145514764,0.00203554579145143,0.183924275052101,0.0653353838082199,0.0573636450421902,0.00444098597574681,0.00203554579145132,0.0124581453295647,0.176641509007373,0.113320719276879,0.0365917723854961
School of Arts and Sciences,Department of Performing Arts,ATEC,0.0212456255619102,0.00906057683606338,0.0384982514102859,0.0280361638002007,0.0477957087657648,0.0178102499239931,0.00400394205625535,0.00575711687844528,0.662985580700158,0.00614086129723007,0.00400394205625484,0.00619643370846606,0.0402606525902105,0.00400394205625291,0.0069558274872846,0.00703500477541875,0.0486285979960417,0.0335736379872548,0.00400394205625399,0.00400394205625481
School of Arts and Sciences,Department of Performing Arts,DNCE,0.522667213172793,0.0426713582879035,0.090906687829816,0.0120983197736423,0.061271718892029,0.0273051197918506,0.0333013727158271,0.00207669255007382,0.0223943214592101,0.0107500785066728,0.00505264969416098,0.0121431583583954,0.0145413111561054,0.00207669255007507,0.0793171564731839,0.00207669255007866,0.00447404847021002,0.0304507926972969,0.00244139351547724,0.0219832215551986
School of Arts and Sciences,Department of Performing Arts,MUS,0.0764382890661353,0.0429994169385941,0.111481503028361,0.00235953161057509,0.0206810796149241,0.0466049292457756,0.00518978519977796,0.00370099437066341,0.00386139665248968,0.00404219719621735,0.00953590504568901,0.493676900089333,0.00398148758713958,0.00311869429093635,0.0205862001416485,0.00367411248948066,0.0103696825004103,0.00361944945050385,0.00536024264127449,0.128718202840071
