school,department,dept,year (fall),Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,Department of Finance and Real Estate,REAL,2023,0.00314216380149846,0.018527544637574,0.19809626326804,0.00314216380150779,0.0313792970900677,0.145145927836415,0.00314216380150026,0.00314216380150567,0.00314216380150008,0.0354286036636026,0.00314216380149998,0.455780666221258,0.0085390547023194,0.00314216380150143,0.00314216380150468,0.0205604935659538,0.00314216380149772,0.0140596791178531,0.00314216380150343,0.041060831881897
Kogod School of Business,Department of Finance and Real Estate,REAL,2024,0.00238209490503064,0.0370440242664567,0.135305344541309,0.00238209490503528,0.0216346857836007,0.16600193863603,0.00238209490503191,0.00238209490503519,0.00238209490503229,0.0282550403054375,0.00238209490503213,0.463022860890371,0.0211542805566162,0.00238209490503427,0.00238209490503535,0.0153552072083763,0.00238209490503047,0.0162778557672963,0.00290694776161235,0.0716029601375973
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2014,0.0054811269469173,0.162178263919739,0.0447404478029809,0.00385770117655402,0.0285516383338086,0.0508792914041366,0.00346905498111821,0.0030912661082239,0.150508031592286,0.0301560211557513,0.00309126610822264,0.301867353576656,0.0121816419227167,0.0144312340993923,0.00442893044451099,0.0444025903344755,0.0336569964994552,0.0132921787772465,0.0166790458717813,0.0730559189440264
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2015,0.00525167720705513,0.156848481629831,0.0425480320203155,0.00370942272520999,0.0271686630246018,0.0483799334414136,0.00334020883954602,0.0029813094102964,0.143027236620156,0.0286928267054474,0.00298130941029531,0.286818592505307,0.0116171664340646,0.0137542790019064,0.00425209052976921,0.0623004490849335,0.0320187532819661,0.0143699496550589,0.0176746345152368,0.0922649839575885
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2016,0.00480704250766602,0.160459455797657,0.0378562909913944,0.00370743785761531,0.0312000437732994,0.0483779485738189,0.00333822397195128,0.00297932454270176,0.143484184464311,0.0286908418378527,0.00297932454270067,0.287387277017593,0.01161518156647,0.0137522941343115,0.00425010566217424,0.0585747283494745,0.0320167684143714,0.0148377589811354,0.0176726496476421,0.0920131173658595
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2017,0.00450077779457688,0.158680957236359,0.0367167181414657,0.00344676571125424,0.025371837547404,0.0464434391851375,0.00308004971581747,0.00273272768751121,0.148541307261143,0.0260111032016673,0.0027327276875112,0.30753370916077,0.0109313273787893,0.013158182131006,0.00439503307899281,0.056447793399093,0.0308334798213986,0.014417537319849,0.0186761503774489,0.0853483761628051
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2018,0.00366248790579123,0.157881268889147,0.037125820462023,0.0025211290206733,0.0255994105031161,0.0484497905009092,0.00216877414065836,0.00180379167023521,0.156623328925868,0.0247208137452553,0.00180379167023487,0.32491870521374,0.0105860191520342,0.0127593539667888,0.00309611145275031,0.0587981984156454,0.00180379167023482,0.0138632165228804,0.0186071791548708,0.0932070170171431
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2019,0.00358206888627687,0.155255435445987,0.0388302962938756,0.0024562197948779,0.0251782746997234,0.0476478150308864,0.00213814894330645,0.00177924951405696,0.153831943637847,0.0245656397266816,0.00177924951405663,0.317055555810018,0.0225882013689735,0.012552219105668,0.00305003063353011,0.0613501017587289,0.00177924951405655,0.0146186320089836,0.0183025805406154,0.0916590877718499
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2020,0.00328007464590507,0.144541904800621,0.0363158012117391,0.00227185157898075,0.0226199604489914,0.0427419368649588,0.00198701201040923,0.00166560953645454,0.159076080312324,0.0220713321149245,0.00166560953645481,0.313415672468504,0.0203004917945891,0.0113130449916287,0.00280362247926645,0.0803246141518956,0.00166560953645401,0.0134597964359283,0.018077484030759,0.100402491049212
Kogod School of Business,Department of Information Technology and Analytics,ITEC,2021,0.00320395274190477,0.141555507564068,0.0352821220159755,0.00222495353199311,0.0219832621449017,0.0415219928676527,0.00194837018280033,0.00163628372258327,0.155333873404447,0.0227578455328805,0.00163628372258347,0.306446390950992,0.0197310244659896,0.0110040833674625,0.0259101643886405,0.0780153171897507,0.00163628372258284,0.0130886101322171,0.0175724517098064,0.0975112266407681
